recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D49	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
59196a586276f0be745d0e334fc071c6	32	0	0	0	0	0	0	0	0	0	185	0	333	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad7bc2bb6e1ec90a9bc3c8949bce80d6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	61	0	0	35	0	0	38	20	0	0	0	24	14	17	461	0	98
4311a44a7d56ce4086afad3e75bedd6e	0	0	18	14	0	11	0	9	8	0	17	0	7	0	0	58	9	80	18	33	20	0	7	0	13	0	0	0	59	4	10	146	16	12	38	26	0	10	8	15	18	9	0	11	0	0	10	0
cc968157f7691aab95df444e8cd103e2	8	0	0	38	0	8	18	6	0	15	23	20	26	13	0	7	9	6	16	33	19	10	14	0	0	13	15	0	7	23	13	9	23	7	0	12	61	3	0	14	17	38	6	26	24	11	28	22
3f55a8ca784ae7190790023a30cd859c	0	0	0	0	0	17	0	24	0	0	0	16	0	111	66	25	0	61	0	27	0	13	0	0	141	0	0	138	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
fd1f139259c53276619476db0cc81913	0	0	0	0	0	0	0	0	127	32	0	0	0	0	0	214	73	0	0	120	0	16	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79280cea51a6fe8a3432b2f266dd34db	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	77	7	0	0	65	0	0	111	0	59	42	0	92	0	0	0	0	0	0	0	0	59	43
0c70bdd5631104dd3d818561c9166f6c	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	14	0	0	161	0	31	16	16	61	67	16	0	0	0	15	28	0	24	76	9	0	0
efc53dead4f6aa3c5c7b6bc3ebd55544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	12	0	0	0	0	10	13	5	13	18	17	0	25	12	61	34	19	40	3	7	41	31	22	40	38	62	19	19
ed359a2407b2ca10646f03d8714727b8	8	17	38	29	42	50	37	27	9	63	0	0	0	35	0	26	64	9	0	52	0	17	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
4c2189b6b5ced3cb80093414e9449de9	0	0	80	0	0	75	0	69	0	0	70	47	11	0	22	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	19	0	25	0	21	0	0	21	60
